Byl	/places/857073/bylae
Oual	/places/642551/oualo	/places/778437/ouala
Byk	/places/226553/bykes
Bouphag	/places/573151/bouphagos
Ḫirbat ʿA Sīnū	/places/874306/hirbat-2bfain-sinu
Cerial	/places/265882/cerialis
Phegetio	/places/494608/phegetioi
Acmod	/places/92113/acmodae
Terebinthod	/places/521162/terebinthodes
Mardēberd	/places/874588/mardeberd-1
Velin	/places/409242/velinae
Coloni Claudi (Nerōnia) Caes.	/places/678010/Colonia-Claudia-Neronia-Caes
Tau	/places/60706/taua
Tav	/places/89299/tavum	/places/79449/tavus
Aach	/places/108749/aachen
Tap	/places/211464/tapae
Menosgad	/places/123101/menosgada
Tar	/places/442811/taras	/places/442810/taras	/places/383793/tarus
Phalik	/places/541036/phalika	/places/541037/phalika
Sahal	/places/874668/sahal
Tep Hissār	/places/942329/tepe-hissar
Tay	/places/727243/taya
Taz	/places/229595/tazos	/places/828282/tazos	/places/860863/tazos	/places/609546/taza	/places/857740/tazos	/places/860863/tazis
Tad	/places/805660/tadu
Taf	/places/795867/tafis
Tag	/places/256463/tagus
Tab	/places/39327/tabam	/places/466002/tabae
Tal	/places/741611/tala	/places/741611/talae
Tam	/places/942284/tamis	/places/79450/tamus	/places/798107/tama
Tan	/places/759654/tanis	/places/727236/tanis	/places/737069/tanis	/places/570704/tanos	/places/590071/tanos
Battyn	/places/481756/battyna
Taj	/places/256463/tajo
Aspath	/places/50605/aspathis
Dald Phlabiokaisarei	/places/550508/daldis-phlabiokaisareia
Praedi Rufi Volusian	/places/315119/praedia-rufii-volusiani
Ibi Chyse	/places/741479/ibion-chyseos
Tykandeita	/places/828327/tykandeitai
Beioubaith	/places/874400/beioubaitha
Merm	/places/39382/merme
Me	/places/798079/meae
Stampens	/places/138459/stampensis
Tarquimpol	/places/108921/tarquimpol
Alba-la-Romain	/places/167629/alba-la-romaine
Brutobrig	/places/260514/brutobriga	/places/256032/brutobriga
Oberer Zab	/places/894183/oberer-zab
Iresi	/places/543735/iresiae	/places/543734/iresia
Saiet	/places/678393/saiete
Aqu Saraven	/places/619110/aquae-saravenae
Kykal	/places/585924/kykala
Turr Saetab(...)	/places/265783/turres-saetab
Bon	/places/60465/bonis
Anteb	/places/876566/anteba
Mardand	/places/662185/mardandos
August	/places/79574/augusta	/places/206935/augusta	/places/393386/augusta	/places/123072/augusta	/places/167658/augusta	/places/167659/augusta	/places/648577/augusta	/places/471887/augustae	/places/216719/augustae
Melcuman	/places/197375/melcumani
